x,y,z
5.332207842705812828e-01,0.000000000000000000e+00,4.300251411491186060e-01
5.332207842705812828e-01,1.199999999999999956e-01,4.300251411491186060e-01
3.205757549862689793e+00,0.000000000000000000e+00,1.694514922315453476e-01
3.205757549862689793e+00,1.199999999999999956e-01,1.694514922315453476e-01
4.168394571451884412e-01,0.000000000000000000e+00,3.476166660052680824e-01
4.168394571451884412e-01,1.199999999999999956e-01,3.476166660052680824e-01
1.141604228455700282e-01,0.000000000000000000e+00,1.358349685320553224e+00
1.141604228455700282e-01,1.199999999999999956e-01,1.358349685320553224e+00
6.970688417104294876e-01,0.000000000000000000e+00,1.400012529674412365e+00
6.970688417104294876e-01,1.199999999999999956e-01,1.400012529674412365e+00
3.095514842558946267e+00,0.000000000000000000e+00,2.909499572359177666e+00
3.095514842558946267e+00,1.199999999999999956e-01,2.909499572359177666e+00
1.619381414565000954e+00,0.000000000000000000e+00,2.438156766396963882e+00
1.619381414565000954e+00,1.199999999999999956e-01,2.438156766396963882e+00
1.717583125936217092e+00,0.000000000000000000e+00,7.299658650804768945e-01
1.717583125936217092e+00,1.199999999999999956e-01,7.299658650804768945e-01
2.494305797638348032e+00,0.000000000000000000e+00,2.058797787273591862e+00
2.494305797638348032e+00,1.199999999999999956e-01,2.058797787273591862e+00
4.088763160227752103e+00,0.000000000000000000e+00,5.222298665131619444e-01
4.088763160227752103e+00,1.199999999999999956e-01,5.222298665131619444e-01
3.048246399258085493e+00,0.000000000000000000e+00,2.672165162144169326e+00
3.048246399258085493e+00,1.199999999999999956e-01,2.672165162144169326e+00
1.502094204111039744e-03,0.000000000000000000e+00,3.036585883868757829e+00
1.502094204111039744e-03,1.199999999999999956e-01,3.036585883868757829e+00
3.971685354494675746e+00,0.000000000000000000e+00,1.175219560979804401e+00
3.971685354494675746e+00,1.199999999999999956e-01,1.175219560979804401e+00
3.577650135648586804e+00,0.000000000000000000e+00,3.253830868918443642e+00
3.577650135648586804e+00,1.199999999999999956e-01,3.253830868918443642e+00
1.721928505401481235e+00,0.000000000000000000e+00,2.985267852290269364e+00
1.721928505401481235e+00,1.199999999999999956e-01,2.985267852290269364e+00
4.182156445082264029e-01,0.000000000000000000e+00,2.151712053332378805e+00
4.182156445082264029e-01,1.199999999999999956e-01,2.151712053332378805e+00
2.732878346544926895e+00,0.000000000000000000e+00,1.170825985915576073e+00
2.732878346544926895e+00,1.199999999999999956e-01,1.170825985915576073e+00
3.192950191853534125e-01,0.000000000000000000e+00,8.182702650597123428e-01
3.192950191853534125e-01,1.199999999999999956e-01,8.182702650597123428e-01
3.821682534141447540e+00,0.000000000000000000e+00,2.263592079920817124e+00
3.821682534141447540e+00,1.199999999999999956e-01,2.263592079920817124e+00
1.723223068021104920e+00,0.000000000000000000e+00,3.040512729821961635e+00
1.723223068021104920e+00,1.199999999999999956e-01,3.040512729821961635e+00
2.788432007857103656e+00,0.000000000000000000e+00,2.150047408204629917e+00
2.788432007857103656e+00,1.199999999999999956e-01,2.150047408204629917e+00
7.629244932062273499e-01,0.000000000000000000e+00,2.585131960440275378e+00
7.629244932062273499e-01,1.199999999999999956e-01,2.585131960440275378e+00
1.836744544683268199e+00,0.000000000000000000e+00,1.875521440143060437e+00
1.836744544683268199e+00,1.199999999999999956e-01,1.875521440143060437e+00
1.640992473299097032e+00,0.000000000000000000e+00,7.450061609628645665e-02
1.640992473299097032e+00,1.199999999999999956e-01,7.450061609628645665e-02
2.240181873571575277e+00,0.000000000000000000e+00,2.901814624996581937e+00
2.240181873571575277e+00,1.199999999999999956e-01,2.901814624996581937e+00
4.081588031241802916e+00,0.000000000000000000e+00,8.479246825113356811e-01
4.081588031241802916e+00,1.199999999999999956e-01,8.479246825113356811e-01
2.960820586796184983e+00,0.000000000000000000e+00,2.527487374975859513e+00
2.960820586796184983e+00,1.199999999999999956e-01,2.527487374975859513e+00
3.925932137551341405e+00,0.000000000000000000e+00,2.765574686695473350e+00
3.925932137551341405e+00,1.199999999999999956e-01,2.765574686695473350e+00
3.482802369208687132e+00,0.000000000000000000e+00,3.120296781735316216e+00
3.482802369208687132e+00,1.199999999999999956e-01,3.120296781735316216e+00
7.127090451536202131e-01,0.000000000000000000e+00,7.977565932695099837e-01
7.127090451536202131e-01,1.199999999999999956e-01,7.977565932695099837e-01
2.127995619076703537e+00,0.000000000000000000e+00,8.039210626045779629e-01
2.127995619076703537e+00,1.199999999999999956e-01,8.039210626045779629e-01
2.908458893813590684e+00,0.000000000000000000e+00,1.102907146434694008e+00
2.908458893813590684e+00,1.199999999999999956e-01,1.102907146434694008e+00
1.049221770049118208e+00,0.000000000000000000e+00,1.044587372553342552e+00
1.049221770049118208e+00,1.199999999999999956e-01,1.044587372553342552e+00
3.980254865838837475e+00,0.000000000000000000e+00,3.202111510317553034e+00
3.980254865838837475e+00,1.199999999999999956e-01,3.202111510317553034e+00
5.921109004011280152e-01,0.000000000000000000e+00,3.279256821979400716e+00
5.921109004011280152e-01,1.199999999999999956e-01,3.279256821979400716e+00
2.532772859294368129e+00,0.000000000000000000e+00,1.151309825098607575e+00
2.532772859294368129e+00,1.199999999999999956e-01,1.151309825098607575e+00
1.686297669214066763e+00,0.000000000000000000e+00,2.633164327928159576e+00
1.686297669214066763e+00,1.199999999999999956e-01,2.633164327928159576e+00
2.812065466636237687e-01,0.000000000000000000e+00,1.887392632407634552e-01
2.812065466636237687e-01,1.199999999999999956e-01,1.887392632407634552e-01
6.390836480513569784e-01,0.000000000000000000e+00,2.009817845157773064e+00
6.390836480513569784e-01,1.199999999999999956e-01,2.009817845157773064e+00
1.539019427651551197e+00,0.000000000000000000e+00,3.667818949273289886e-01
1.539019427651551197e+00,1.199999999999999956e-01,3.667818949273289886e-01
3.933140429251329007e+00,0.000000000000000000e+00,8.847844718262994901e-01
3.933140429251329007e+00,1.199999999999999956e-01,8.847844718262994901e-01
1.019050656129758536e+00,0.000000000000000000e+00,9.139851744324998251e-01
1.019050656129758536e+00,1.199999999999999956e-01,9.139851744324998251e-01
3.378800665557120553e+00,0.000000000000000000e+00,1.746951346961747475e+00
3.378800665557120553e+00,1.199999999999999956e-01,1.746951346961747475e+00
1.585701666144275546e+00,0.000000000000000000e+00,2.744084235606126132e+00
1.585701666144275546e+00,1.199999999999999956e-01,2.744084235606126132e+00
2.848929066438869562e+00,0.000000000000000000e+00,3.569100400152020458e-01
2.848929066438869562e+00,1.199999999999999956e-01,3.569100400152020458e-01
1.831638350636796142e+00,0.000000000000000000e+00,2.955697729371257854e+00
1.831638350636796142e+00,1.199999999999999956e-01,2.955697729371257854e+00
3.991055365511929853e+00,0.000000000000000000e+00,2.521201941371697952e+00
3.991055365511929853e+00,1.199999999999999956e-01,2.521201941371697952e+00
1.733473405919877808e-01,0.000000000000000000e+00,5.645064188287265416e-01
1.733473405919877808e-01,1.199999999999999956e-01,5.645064188287265416e-01
1.693891067776232884e+00,0.000000000000000000e+00,2.794468138436621452e+00
1.693891067776232884e+00,1.199999999999999956e-01,2.794468138436621452e+00
1.596119336803696609e-01,0.000000000000000000e+00,3.350722207444459144e+00
1.596119336803696609e-01,1.199999999999999956e-01,3.350722207444459144e+00
2.627496899263369379e+00,0.000000000000000000e+00,1.323137446112504945e+00
2.627496899263369379e+00,1.199999999999999956e-01,1.323137446112504945e+00
